Date	Close AAPL	Pret AAPL	Date	Close SMSM	Pret SMSM_dolar	Date	Pret Indice
02.03.2022	166559998	166.56	Apr 03, 2023	63100	47.96	Feb 24 2022	4288.7
03.03.2022	166229996	166.23	Mar 31, 2023	64000	48.64	Feb 25 2022	4384.65
04.03.2022	163169998	163.17	Mar 30, 2023	63200	48.03	Feb 28 2022	4373.94
07.03.2022	159300003	159.3	Mar 29, 2023	62700	47.65	Mar 01 2022	4306.26
08.03.2022	157440002	157.44	Mar 28, 2023	62900	47.8	Mar 02 2022	4386.54
09.03.2022	162949997	162.95	Mar 27, 2023	62100	47.2	Mar 03 2022	4363.49
10.03.2022	158520004	158.52	Mar 24, 2023	63000	47.88	Mar 04 2022	4328.87
11.03.2022	154729996	154.73	Mar 23, 2023	62300	47.35	Mar 07 2022	4201.09
14.03.2022	150619995	150.62	Mar 22, 2023	61100	46.44	Mar 08 2022	4170.7
15.03.2022	155089996	155.09	Mar 21, 2023	60300	45.83	Mar 09 2022	4277.88
16.03.2022	159589996	159.59	Mar 20, 2023	60200	45.75	Mar 10 2022	4259.52
17.03.2022	160619995	160.62	Mar 17, 2023	61300	46.59	Mar 11 2022	4204.31
18.03.2022	163979996	163.98	Mar 16, 2023	59900	45.52	Mar 14 2022	4173.11
21.03.2022	165380005	165.38	Mar 15, 2023	59800	45.45	Mar 15 2022	4262.45
22.03.2022	168820007	168.82	Mar 14, 2023	59000	44.84	Mar 16 2022	4357.86
23.03.2022	170210007	170.21	Mar 13, 2023	60000	45.6	Mar 17 2022	4411.67
24.03.2022	174070007	174.07	Mar 10, 2023	59500	45.22	Mar 18 2022	4463.12
25.03.2022	174720001	174.72	Mar 09, 2023	60100	45.68	Mar 21 2022	4461.18
28.03.2022	175600006	175.6	Mar 08, 2023	60300	45.83	Mar 22 2022	4511.61
29.03.2022	178960007	178.96	Mar 07, 2023	60700	46.13	Mar 23 2022	4456.24
30.03.2022	177770004	177.77	Mar 06, 2023	61500	46.74	Mar 24 2022	4520.16
31.03.2022	174610001	174.61	Mar 03, 2023	60500	45.98	Mar 25 2022	4543.06
01.04.2022	174309998	174.31	Mar 02, 2023	60800	46.21	Mar 28 2022	4575.52
04.04.2022	178440002	178.44	Feb 28, 2023	60600	46.06	Mar 29 2022	4631.6
05.04.2022	175059998	175.06	Feb 27, 2023	60500	45.98	Mar 30 2022	4602.45
06.04.2022	171830002	171.83	Feb 24, 2023	61300	46.59	Mar 31 2022	4530.41
07.04.2022	172139999	172.14	Feb 23, 2023	62000	47.12	Apr 01 2022	4545.86
08.04.2022	170089996	170.09	Feb 22, 2023	61100	46.44	Apr 04 2022	4582.64
11.04.2022	165750000	165.75	Feb 21, 2023	62100	47.2	Apr 05 2022	4525.12
12.04.2022	167660004	167.66	Feb 20, 2023	62700	47.65	Apr 06 2022	4481.15
13.04.2022	170399994	170.4	Feb 17, 2023	62600	47.58	Apr 07 2022	4500.21
14.04.2022	165289993	165.29	Feb 16, 2023	63700	48.41	Apr 08 2022	4488.28
18.04.2022	165070007	165.07	Feb 15, 2023	62200	47.27	Apr 11 2022	4412.53
19.04.2022	167399994	167.4	Feb 14, 2023	63200	48.03	Apr 12 2022	4397.45
20.04.2022	167229996	167.23	Feb 13, 2023	62900	47.8	Apr 13 2022	4446.59
21.04.2022	166419998	166.42	Feb 10, 2023	62900	47.8	Apr 14 2022	4392.59
22.04.2022	161789993	161.79	Feb 09, 2023	63300	48.11	Apr 18 2022	4391.69
25.04.2022	162880005	162.88	Feb 08, 2023	63100	47.96	Apr 19 2022	4462.21
26.04.2022	156800003	156.8	Feb 07, 2023	62000	47.12	Apr 20 2022	4459.45
27.04.2022	156570007	156.57	Feb 06, 2023	61600	46.82	Apr 21 2022	4393.66
28.04.2022	163639999	163.64	Feb 03, 2023	63500	48.26	Apr 22 2022	4271.78
29.04.2022	157649994	157.65	Feb 02, 2023	63500	48.26	Apr 25 2022	4296.12
02.05.2022	157960007	157.96	Feb 01, 2023	61000	46.36	Apr 26 2022	4175.2
03.05.2022	159479996	159.48	Jan 31, 2023	61400	46.66	Apr 27 2022	4183.96
04.05.2022	166020004	166.02	Jan 30, 2023	63300	48.11	Apr 28 2022	4287.5
05.05.2022	156770004	156.77	Jan 27, 2023	64600	49.1	Apr 29 2022	4131.93
06.05.2022	157279999	157.28	Jan 26, 2023	63800	48.49	May 02 2022	4155.38
09.05.2022	152059998	152.06	Jan 25, 2023	63300	48.11	May 03 2022	4175.48
10.05.2022	154509995	154.51	Jan 20, 2023	61800	46.97	May 04 2022	4300.17
11.05.2022	146500000	146.5	Jan 19, 2023	61500	46.74	May 05 2022	4146.87
12.05.2022	142559998	142.56	Jan 18, 2023	60400	45.9	May 06 2022	4123.34
13.05.2022	147110001	147.11	Jan 17, 2023	61000	46.36	May 09 2022	3991.24
16.05.2022	145539993	145.54	Jan 16, 2023	61100	46.44	May 10 2022	4001.05
17.05.2022	149240005	149.24	Jan 13, 2023	60800	46.21	May 11 2022	3935.18
18.05.2022	140820007	140.82	Jan 12, 2023	60500	45.98	May 12 2022	3930.08
19.05.2022	137350006	137.35	Jan 11, 2023	60500	45.98	May 13 2022	4023.89
20.05.2022	137589996	137.59	Jan 10, 2023	60400	45.9	May 16 2022	4008.01
23.05.2022	143110001	143.11	Jan 09, 2023	60700	46.13	May 17 2022	4088.85
24.05.2022	140360001	140.36	Jan 06, 2023	59000	44.84	May 18 2022	3923.68
25.05.2022	140520004	140.52	Jan 05, 2023	58200	44.23	May 19 2022	3900.79
26.05.2022	143779999	143.78	Jan 04, 2023	57800	43.93	May 20 2022	3901.36
27.05.2022	149639999	149.64	Jan 03, 2023	55400	42.1	May 23 2022	3973.75
31.05.2022	148839996	148.84	Jan 02, 2023	55500	42.18	May 24 2022	3941.48
01.06.2022	148710007	148.71	Dec 29, 2022	55300	42.03	May 25 2022	3978.73
02.06.2022	151210007	151.21	Dec 28, 2022	56600	43.02	May 26 2022	4057.84
03.06.2022	145380005	145.38	Dec 28, 2022		0	May 27 2022	4158.24
06.06.2022	146139999	146.14	Dec 27, 2022	58100	44.16	May 31 2022	4132.15
07.06.2022	148710007	148.71	Dec 26, 2022	57900	44	Jun 01 2022	4101.23
08.06.2022	147960007	147.96	Dec 23, 2022	58100	44.16	Jun 02 2022	4176.82
09.06.2022	142639999	142.64	Dec 22, 2022	59100	44.92	Jun 03 2022	4108.54
10.06.2022	137130005	137.13	Dec 21, 2022	58000	44.08	Jun 06 2022	4121.43
13.06.2022	131880005	131.88	Dec 20, 2022	58600	44.54	Jun 07 2022	4160.68
14.06.2022	132759995	132.76	Dec 19, 2022	59500	45.22	Jun 08 2022	4115.77
15.06.2022	135429993	135.43	Dec 16, 2022	59500	45.22	Jun 09 2022	4017.82
16.06.2022	130059998	130.06	Dec 15, 2022	59300	45.07	Jun 10 2022	3900.86
17.06.2022	131559998	131.56	Dec 14, 2022	60500	45.98	Jun 13 2022	3749.63
21.06.2022	135869995	135.87	Dec 13, 2022	59700	45.37	Jun 14 2022	3735.48
22.06.2022	135350006	135.35	Dec 12, 2022	59500	45.22	Jun 15 2022	3789.99
23.06.2022	138270004	138.27	Dec 09, 2022	60400	45.9	Jun 16 2022	3666.77
24.06.2022	141660004	141.66	Dec 08, 2022	59200	44.99	Jun 17 2022	3674.84
27.06.2022	141660004	141.66	Dec 07, 2022	58900	44.76	Jun 21 2022	3764.79
